연번,구분,세부구분,시설명,시설명영문명,데이터기준일자
264,체험/스포츠,체험장,광주김치타운,Kimchitown,2025-09-22
265,숙박,캠핑장,광주 시민의 숲 야영장,Citizen's Forest Campground ,2025-09-22
266,체험/스포츠,유원지,지산유원지,Jisan Recreation Area,2025-09-22
267,숙박,캠핑장,승촌보 캠핑장,Seungchonbo Campground ,2025-09-22
268,숙박,캠핑장,제 2 수원지 캠핑장,Second Reservoir Campground,2025-09-22
269,숙박,캠핑장,본량 학생야영장,Bonlyang Campsite,2025-09-22
270,숙박,캠핑장,청풍학생야영장,Cheongpung Campsite,2025-09-22
271,공원,도시근린공원,수완호수공원,Suwan Lake Park ,2025-09-22
272,거리,이색거리,금남로,Geumnamno Street,2025-09-22
273,예술/문화,박물관,백범기념관,Kim Koo Museum and Library,2025-09-22
274,예술/문화,미술관,소촌아트팩토리,Sochon Art Factory ,2025-09-22
275,체험/스포츠,공연장,김대중컨벤션센터,Kim Dae-jung Convention Center,2025-09-22
276,자연,자연,광주호 호수생태원,Gwangjuho Lake Eco Park,2025-09-22
277,체험/스포츠,체험장,남도향토음식박물관,Namdo Traditional Food Museum,2025-09-22
278,체험/스포츠,스포츠/기타,광주실내빙상장,Gwangju Indoor Ice Rink,2025-09-22
279,거리,이색거리,충장로,Chungjang-ro ,2025-09-22
280,예술/문화,전통문화,청공소리 한옥체험장,Cheonggongsori Hanok Experience,2025-09-22
281,예술/문화,미술관,양림미술관,Yangrim Art Museum,2025-09-22
282,맛집,한식,낙지마을,Nakji Maeul,2025-09-22
283,맛집,한식,행랑채,Hengnangchae,2025-09-22
284,거리,이색거리,동명동 카페거리,Dongmyeong-dong Cafe Street ,2025-09-22
285,숙박,관광호텔·호스텔,호텔무등파크,Hotel Mudeung Park,2025-09-22
286,숙박,외국인도시민박업,그린게스트하우스,Green Guesthouse,2025-09-22
287,숙박,외국인도시민박업,Pedro guesthouse,Pedro guesthouse,2025-09-22
288,거리,이색거리,양림동 펭귄마을,Yangnim-dong Penguin Village,2025-09-22
289,거리,이색거리,신안동 디카의 거리,Digital Camera Avenue of Sinan,2025-09-22
290,거리,이색거리,청춘발산마을,Cheongchun Balsan Village,2025-09-22
291,거리,이색거리,무등산 카페거리,Mudeungsan Cafe Village ,2025-09-22
292,예술/문화,전통문화,광주향교 체험,Gwangjuhyanggyo Local Confucian School Experience,2025-09-22
293,예술/문화,미술관,광주여성전시관 Herstory ,"Gwangju Women's Exhibition Hall, Herstory ",2025-09-22
294,예술/문화,미술관,은암미술관,Eunam Museum of Art ,2025-09-22
295,역사/전통,미술관,윤상원열사 생가,House of Yoon Sang-won ,2025-09-22
296,역사/전통,사찰/기독교,선교기념비,Mission Monument,2025-09-22
297,예술/문화,선비문화,송호영당,Songhoyeongdang,2025-09-22
298,예술/문화,선비문화,사직단,Sajikdan Altar,2025-09-22
299,역사/전통,5·18/광주학생운동,광주 경찰충혼탑,Gwangju Police Memorial Tower,2025-09-22
300,예술/문화,문화유산,신룡동오층석탑,Five-Story Stone Pagoda in Sinnyong-dong ,2025-09-22
301,역사/전통,5·18/광주학생운동,광주 3.1 만세운동 기념비,Gwangju March 1 Manse Movement Monument,2025-09-22
302,맛집,한식,절기밥상,Ihwajeong,2025-09-22
303,자연,자연,원효계곡,Wonhyo Valley,2025-09-22
304,예술/문화,미술관,국윤미술관,G & Y Museum of Art,2025-09-22
305,거리,이색거리,맥문동숲길,Maengmundong Forest Road,2025-09-22
306,숙박,한옥스테이,오가헌,Ogaheon Hanok Hotel,2025-09-22
307,숙박,템플스테이,증심사 템플스테이,Temple Stay at Jeungsimsa Temple ,2025-09-22
308,예술/문화,전통문화,증심사 템플스테이,Temple Stay at Jeungsimsa Temple ,2025-09-22
309,예술/문화,박물관,비움박물관, Bium Museum,2025-09-22
310,체험/스포츠,스포츠/기타,광주기아챔피언스필드,Gwangju-Kia Champions Field ,2025-09-22
311,체험/스포츠,체험장,국립광주과학관,Gwangju National Science Museum,2025-09-22
312,맛집,양식,어나더키친,Another Kitchen,2025-09-22
313,맛집,양식,마리오셰프,Mario Chef,2025-09-22
314,숙박,관광호텔·호스텔,오아시타호스텔,Oasita Hostel,2025-09-22
315,숙박,템플스테이,무각사 템플스테이,Temple Stay at Mugaksa Temple ,2025-09-22
316,쇼핑,전통시장,대인시장,Daein Market ,2025-09-22
318,예술/문화,박물관,분청사기전시실,Buncheong Ware Exhibition Hall,2025-09-22
319,자연,자연,승촌보 유채꽃밭,Seungchonbo Canola Flower(Yuchae) Garden,2025-09-22
