연번,구분,세부구분,시설명,시설명영문명,데이터기준일자,주소,위도,경도,지오코딩상태,재시도방법
87,자연,자연,석문산,Seongmunsan Mountain,2025-09-22,충남 당진시 석문면 교로리 산 27-4,37.047119139460676,126.52493900616122,success,
88,자연,자연,어등산,Mt. Eodeung,2025-09-22,광주 광산구 운수동 산 152-3,35.16867755079273,126.76092674587518,success,
89,자연,자연,용진산,Yongjinsan Mountain,2025-09-22,광주 광산구 선동 산 69,35.207216307838024,126.72947548337619,success,
90,역사/전통,5·18/광주학생운동,무등경기장정문(사적18호),Main Gate of Mudeung Sports Stadium (Historical Site No. 18),2025-09-22,,,,not_found,
91,역사/전통,5·18/광주학생운동,배고픈다리(사적13호),Baegopeun(hungry) Bridge (Historical Site No. 13),2025-09-22,전남 장흥군 대덕읍 연지리,34.5051630023038,126.921728616703,success,korean_cleaned
92,예술/문화,문화유산,양림동 호랑가시나무,Yangnim-dong Holly,2025-09-22,광주 남구 양림동 230-1,35.138053707394,126.911497932035,success,
93,예술/문화,문화유산,양송천 묘역,Yang Songcheon’s Cemetary ,2025-09-22,광주 광산구 동호동 산 32-2,35.1803316520209,126.686113128895,success,
94,예술/문화,문화유산,양씨 삼강문,Samgang Gate for the Yang Clan,2025-09-22,광주 광산구 박호동 산 131-1,35.1694624893093,126.741544615314,success,
95,예술/문화,문화유산,월계동 장고분,Wolgye-dong Ancient Tombs,2025-09-22,광주 광산구 월계동 765-5,35.2139855365462,126.842126162085,success,
96,예술/문화,문화유산,전상의장군 예장석묘,General Jeon Sangui’s Yejangseokmyo(picture-inscribed stone tomb),2025-09-22,광주 북구 화암동 239,35.1468836534096,126.959176839296,success,
97,예술/문화,문화유산,광산노씨 분묘출토 명기류,Exquisite Vessels excavated from Gwangsan Noh Clan’s cemetary,2025-09-22,,,,not_found,
98,역사/전통,전통가옥/근대건축,최승효 가옥,Choi Seunghyo’s House ,2025-09-22,광주 남구 양림동 166-19,35.1414301224313,126.913877663557,success,
99,예술/문화,문화유산,입석마을 입석,Menhir in Ibseok-maeul,2025-09-22,부산 기장군 철마면 송정리 146,35.3110004451041,129.118139395479,success,
100,예술/문화,문화유산,필문 이선제 부조묘,Pilmun (pen name) Yi Seonjae's Shrine,2025-09-22,광주 남구 원산동 535-1,35.0931247538275,126.845469625107,success,
101,예술/문화,문화유산,판소리고법,Pansori Gobeop(Drum Playing Method to Pansori-a Korean traditional-style opera),2025-09-22,광주 북구 우산동 518-94,35.1670652284389,126.91706790866,success,
102,역사/전통,5·18/광주학생운동,광주MBC옛터(사적7호),Old Site of Gwangju MBC (Historical Site No. 7),2025-09-22,광주 동구 궁동 18-1,35.15054896993667,126.92012788655595,success,korean_cleaned
103,역사/전통,5·18/광주학생운동,광주YMCA(사적5-4호),Old Site of Gwangju YMCA (Historical Site No. 5-4),2025-09-22,광주 동구 금남로1가 19-4,35.14792931032401,126.91831862154294,success,korean_cleaned
104,역사/전통,5·18/광주학생운동,광주YWCA옛터(사적6호),Old Site of Gwangju YWCA (Historical Site No. 6),2025-09-22,광주 동구 대의동 75-1,35.1487994557947,126.918812689458,success,korean_cleaned
105,역사/전통,5·18/광주학생운동,구 광주적십자병원(사적11호),Former Gwangju Red Cross Hospital (Historical Site No.11),2025-09-22,,,,not_found,
106,역사/전통,5·18/광주학생운동,상무관(사적5-3호),Sangmugwan (Historical Site No. 5-3) ,2025-09-22,대전 중구 선화동 287-1,36.327863019494,127.420295330028,success,korean_cleaned
107,역사/전통,5·18/광주학생운동,상무대옛터(사적17호),Old Site of Sangmudae (Historical Site No. 17),2025-09-22,,,,not_found,
108,역사/전통,5·18/광주학생운동,양동시장(사적19호),Yangdong Market (Historical Site No. 19),2025-09-22,광주 서구 양동 5-101,35.1545376720738,126.901960377722,success,korean_cleaned
109,역사/전통,5·18/광주학생운동,옛 상무대 영창,Former Sangmudae Guardhouse (Sangmudae-military training facility),2025-09-22,,,,not_found,
110,역사/전통,5·18/광주학생운동,전남대병원(사적9호),Chonnam National University Hospital (Historical Site No.9),2025-09-22,광주 동구 학동 8,35.14181571534401,126.9215629456366,success,korean_cleaned
111,역사/전통,5·18/광주학생운동,전남대학교 정문(사적1호),Chonnam National University  (Historical Site No. 1),2025-09-22,광주 북구 용봉동 300,35.17596181776418,126.9085652963471,success,korean_cleaned
112,역사/전통,5·18/광주학생운동,조선대학교(사적12호),Chosun Univesity (Historical Site No. 12),2025-09-22,광주 동구 서석동 산 57-1,35.142732084451595,126.93470930672062,success,korean_cleaned
